Latitude,Longitude,Region, Name,Rx,Shift,Tx,Tone,Type,Callsign,Address,Note
37.4355672,126.9388092,경기도,서울본부,439.5,-5,434.5,88.5,광역망,HL∅FHQ,경기 안양시 만안구 석수동 산 10-1,
36.996053,127.1032486,경기도,비전동,145.18,0.6,145.78,88.5,지역망,DS∅II,경기 평택시 평택5로 185 (비전동),
36.996053,127.1032486,경기도,비전동,433.84,0,433.84,88.5,유무선망,DS∅KBZ,경기 평택시 평택5로 185 (비전동),
37.0372222,127.2772222,경기도,비봉산,145.76,0,145.76,88.5,지역망,6K∅ID,"경기 안성시 보개면 기좌리 산24, 비봉산",
37.0372222,127.2772222,경기도,비봉산,438.76,0,438.76,88.5,지역망,6K∅ID,"경기 안성시 보개면 기좌리 산24, 비봉산",
37.2863889,127.5958333,경기도,북성산,145.74,0,145.74,88.5,지역망,D7∅HZ,"경기 여주시 능서면 신지리 산69-50, 북성산",
37.2863889,127.5958333,경기도,북성산,434.78,0,434.78,88.5,지역망,D7∅HZ,"경기 여주시 능서면 신지리 산69-50, 북성산",
37.2322222,127.155,경기도,부아산,439.74,-5,434.74,88.5,지역망,6N∅HX,"경기 용인시 삼가동 산108-1, 부아산",
37.2322222,127.155,경기도,부아산,145.2,0.6,145.8,88.5,지역망,6N∅HX,"경기 용인시 삼가동 산108-1, 부아산",
37.877236,127.4390253,경기도,매봉산,439.5,-5,434.5,88.5,지역망,DS∅KCS,"경기 가평군 가평읍 승안리 산114, 매봉산",
37.4587163,127.1895039,경기도,남한산성,434.5,5,439.5,88.5,광역망,DS∅GY,경기 광주시 중부면 검복리 산 99-1,
37.4587163,127.1895039,경기도,남한산성,433.92,5,438.92,88.5,유무선망,DS∅KCA,경기 광주시 중부면 검복리 산 99-1,
37.2718201,126.9367318,경기도,권선구,433.88,0,433.88,88.5,유무선망,DS∅KCH,경기 수원시 권선구 금곡엘지아파트 406동 1503호,
37.3280368,127.0150837,경기도,광교산,439.8,-5,434.8,88.5,지역망,6K∅HH,"경기 수원시 장안구 상광교동 산1, 광교산",
37.3280368,127.0150837,경기도,광교산,144.36,0,144.36,88.5,지역망,DS∅HV,"경기 수원시 장안구 상광교동 산1, 광교산",
37.3280368,127.0150837,경기도,광교산,437.2,0,437.2,88.5,지역망,DS∅HV,"경기 수원시 장안구 상광교동 산1, 광교산",
37.276587,127.4187775,경기도,관고동,144.64,0,144.64,88.5,지역망,6K∅HU,경기 이천시 관고동 산67-3,
37.276587,127.4187775,경기도,관고동,431.64,0,431.64,88.5,지역망,6K∅HU,경기 이천시 관고동 산67-3,
37.4355672,126.9388092,경기도,경기도 안양시,145.44,-0.6,144.84,88.5,본부망,D9∅IK,경기도 안양시 만안구 삼막로 584,
37.4355672,126.9388092,경기도,경기도 안양시,145.16,0.6,145.76,88.5,본부망,DS∅DL,경기도 안양시 만안구 삼막로 584,
37.4355672,126.9388092,경기도,경기도 안양시,434.6,0,434.6,88.5,관리망,DS∅DL,경기도 안양시 만안구 삼막로 584,
37.4355672,126.9388092,경기도,경기도 안양시,434.54,5,439.54,88.5,본부망,DS∅KBK,경기도 안양시 만안구 삼막로 584,
37.4355672,126.9388092,경기도,경기도 안양시,439.6,-5,434.6,88.5,본부망,DS∅KBU,경기도 안양시 만안구 삼막로 584,
37.4267785,127.0358016,경기도,경기 청계산,435.14,0,435.14,88.5,본부망,DS∅HF,경기 과천시 막계동 산 35,435.140 송신 144.400수신 크로스밴드임
37.4267785,127.0358016,경기도,경기 청계산,144.4,0,144.4,88.5,본부망,DS∅HF,경기 과천시 막계동 산 36,435.140 송신 144.400수신 크로스밴드임
37.4355672,126.9388092,경기도,경기,439.5,-5,434.5,88.5,광역망,삼성산광역망,경기 안양시 만안구 석수동 산 10-1,
37.4941562,127.4656189,경기도,강상명,439.02,-5,434.02,88.5,지역망,DS∅KBE,경기 양평군 강상면 병산리 116-1,
37.7474629,127.4777748,경기도,가평읍,145.46,0,145.46,88.5,지역망,D8∅NM,경기 가평군 가평읍 복장리 산97-2,
37.7474629,127.4777748,경기도,가평읍,437.46,0,437.46,88.5,지역망,D8∅NM,경기 가평군 가평읍 복장리 산97-2,
36.8,127.7,충청북도,충복,145.38,0,145.38,88.5,지역망,6L∅ML,충북,
36.8,127.7,충청북도,충복,438.38,0,438.38,88.5,지역망,6L∅ML,충북,
36.9704247,127.9299562,충청북도,지현동,433.52,0,433.52,88.5,유무선망,DS∅MV,충북 충주시 예성로 86 (지현동),
36.9713462,127.9773365,충청북도,안림동,144.74,0,144.74,88.5,지역망,DS∅AQ,충북 충주시 안림동 산57-18,
36.9713462,127.9773365,충청북도,안림동,431.74,0,431.74,88.5,지역망,DS∅AQ,충북 충주시 안림동 산57-18,
36.4387021,127.6727075,충청북도,방하목리,145.74,0,145.74,88.5,지역망,6N∅MV,충북 옥천군 안내면 방하목리 산19-1,
36.4387021,127.6727075,충청북도,방하목리,435.74,0,435.74,88.5,지역망,6N∅MV,충북 옥천군 안내면 방하목리 산19-1,
36.6651968,127.4761853,충청북도,대창아파트,433.7,0,433.7,88.5,유무선망,D8∅MK,"충북 청주시 청원구 사뜸로61번길 106, 103-1304",
36.7969209,127.2092083,충청남도,흑성산,434.43,5,439.43,88.5,지역망,6K∅LH,"충남 천안시 동남구 목천읍 교촌리 산 32-3, 흑성산",
36.7968271,127.208302,충청남도,흑성산,434.14,5,439.14,88.5,충남도망,D8∅MX,"충남 천안시 동남구 목천읍 지산리 산 24-9, 흑성산",
36.7969209,127.2092083,충청남도,충남 천안,434.94,5,439.94,88.5,광역망,흑성산광역망,"충남 천안시 동남구 목천읍 교촌리 산 32-3, 흑성산",
36.314645,126.6464299,충청남도,옥마산,434.26,5,439.26,88.5,충남도망,D8∅MW,"충남 보령시 성주면 개화리 산23-4, 옥마산",
36.2950575,127.1237542,충청남도,노성산,434.06,5,439.06,88.5,충남도망,D8∅MY,"충남 논산시 노성면 송당리 산1-1, 노성산",
36.3372641,126.5518913,충청남도,남곡동,434.36,5,439.36,88.5,지역망,D9∅LA,충남 보령시 남서2길 121 (남곡동),
36.2308178,127.5305365,충청남도,관측소,439.2,0,439.2,88.5,지역망,D9∅LF,"충남 금산군 군북면 개덕사길 55-244, 관측소",
